Keywords
pollution industrielle
déversement toxique
déversement de déchets
contamination de l'eau
décharge illégale
air irrespirable
exploitation forestière illégale
déforestation
braconnage
destruction de l’habitat
extraction illégale
surexploitation
marée noire
fuite chimique
catastrophe écologique
incident environnemental
sécheresse
